op,size,threads,trial,time
mm,64,1,0,0.003
mm,64,1,1,0.002
mm,64,1,2,0.002
mm,64,1,3,0.002
mm,64,1,4,0.002
mm,64,1,5,0.002
mm,64,1,6,0.003
mm,64,1,7,0.003
mm,64,1,8,0.002
mm,64,1,9,0.002
mm,64,1,10,0.002
mm,64,1,11,0.002
mm,64,1,12,0.002
mm,64,1,13,0.002
mm,64,1,14,0.002
mm,64,1,15,0.002
mm,64,1,16,0.002
mm,64,1,17,0.002
mm,64,1,18,0.003
mm,64,1,19,0.002
mm,64,2,0,0.002
mm,64,2,1,0.002
mm,64,2,2,0.002
mm,64,2,3,0.002
mm,64,2,4,0.002
mm,64,2,5,0.002
mm,64,2,6,0.002
mm,64,2,7,0.002
mm,64,2,8,0.002
mm,64,2,9,0.002
mm,64,2,10,0.002
mm,64,2,11,0.002
mm,64,2,12,0.002
mm,64,2,13,0.002
mm,64,2,14,0.002
mm,64,2,15,0.002
mm,64,2,16,0.002
mm,64,2,17,0.002
mm,64,2,18,0.002
mm,64,2,19,0.002
mm,64,3,0,0.001
mm,64,3,1,0.001
mm,64,3,2,0.002
mm,64,3,3,0.002
mm,64,3,4,0.002
mm,64,3,5,0.002
mm,64,3,6,0.002
mm,64,3,7,0.001
mm,64,3,8,0.002
mm,64,3,9,0.002
mm,64,3,10,0.002
mm,64,3,11,0.002
mm,64,3,12,0.002
mm,64,3,13,0.001
mm,64,3,14,0.002
mm,64,3,15,0.002
mm,64,3,16,0.002
mm,64,3,17,0.001
mm,64,3,18,0.002
mm,64,3,19,0.001
mm,64,4,0,0.001
mm,64,4,1,0.002
mm,64,4,2,0.002
mm,64,4,3,0.002
mm,64,4,4,0.002
mm,64,4,5,0.002
mm,64,4,6,0.002
mm,64,4,7,0.002
mm,64,4,8,0.001
mm,64,4,9,0.003
mm,64,4,10,0.002
mm,64,4,11,0.002
mm,64,4,12,0.002
mm,64,4,13,0.002
mm,64,4,14,0.002
mm,64,4,15,0.003
mm,64,4,16,0.002
mm,64,4,17,0.002
mm,64,4,18,0.002
mm,64,4,19,0.002
mm,64,5,0,0.002
mm,64,5,1,0.001
mm,64,5,2,0.002
mm,64,5,3,0.001
mm,64,5,4,0.002
mm,64,5,5,0.002
mm,64,5,6,0.002
mm,64,5,7,0.002
mm,64,5,8,0.002
mm,64,5,9,0.002
mm,64,5,10,0.002
mm,64,5,11,0.002
mm,64,5,12,0.002
mm,64,5,13,0.002
mm,64,5,14,0.002
mm,64,5,15,0.002
mm,64,5,16,0.002
mm,64,5,17,0.002
mm,64,5,18,0.002
mm,64,5,19,0.002
mm,64,6,0,0.002
mm,64,6,1,0.002
mm,64,6,2,0.002
mm,64,6,3,0.002
mm,64,6,4,0.002
mm,64,6,5,0.002
mm,64,6,6,0.002
mm,64,6,7,0.002
mm,64,6,8,0.002
mm,64,6,9,0.002
mm,64,6,10,0.002
mm,64,6,11,0.002
mm,64,6,12,0.002
mm,64,6,13,0.002
mm,64,6,14,0.002
mm,64,6,15,0.002
mm,64,6,16,0.002
mm,64,6,17,0.002
mm,64,6,18,0.002
mm,64,6,19,0.002
mm,64,7,0,0.002
mm,64,7,1,0.003
mm,64,7,2,0.003
mm,64,7,3,0.002
mm,64,7,4,0.002
mm,64,7,5,0.003
mm,64,7,6,0.002
mm,64,7,7,0.002
mm,64,7,8,0.002
mm,64,7,9,0.002
mm,64,7,10,0.002
mm,64,7,11,0.002
mm,64,7,12,0.002
mm,64,7,13,0.002
mm,64,7,14,0.003
mm,64,7,15,0.002
mm,64,7,16,0.002
mm,64,7,17,0.002
mm,64,7,18,0.002
mm,64,7,19,0.002
mm,64,8,0,0.002
mm,64,8,1,0.002
mm,64,8,2,0.002
mm,64,8,3,0.002
mm,64,8,4,0.002
mm,64,8,5,0.002
mm,64,8,6,0.002
mm,64,8,7,0.002
mm,64,8,8,0.002
mm,64,8,9,0.002
mm,64,8,10,0.002
mm,64,8,11,0.002
mm,64,8,12,0.002
mm,64,8,13,0.002
mm,64,8,14,0.002
mm,64,8,15,0.002
mm,64,8,16,0.002
mm,64,8,17,0.002
mm,64,8,18,0.002
mm,64,8,19,0.002
mm,128,1,0,0.018
mm,128,1,1,0.018
mm,128,1,2,0.018
mm,128,1,3,0.019
mm,128,1,4,0.018
mm,128,1,5,0.018
mm,128,1,6,0.018
mm,128,1,7,0.018
mm,128,1,8,0.018
mm,128,1,9,0.018
mm,128,1,10,0.018
mm,128,1,11,0.018
mm,128,1,12,0.018
mm,128,1,13,0.019
mm,128,1,14,0.018
mm,128,1,15,0.018
mm,128,1,16,0.018
mm,128,1,17,0.018
mm,128,1,18,0.018
mm,128,1,19,0.018
mm,128,2,0,0.01
mm,128,2,1,0.011
mm,128,2,2,0.011
mm,128,2,3,0.01
mm,128,2,4,0.011
mm,128,2,5,0.011
mm,128,2,6,0.011
mm,128,2,7,0.012
mm,128,2,8,0.011
mm,128,2,9,0.012
mm,128,2,10,0.011
mm,128,2,11,0.01
mm,128,2,12,0.011
mm,128,2,13,0.012
mm,128,2,14,0.011
mm,128,2,15,0.011
mm,128,2,16,0.011
mm,128,2,17,0.011
mm,128,2,18,0.012
mm,128,2,19,0.011
mm,128,3,0,0.009
mm,128,3,1,0.009
mm,128,3,2,0.011
mm,128,3,3,0.009
mm,128,3,4,0.009
mm,128,3,5,0.01
mm,128,3,6,0.009
mm,128,3,7,0.009
mm,128,3,8,0.009
mm,128,3,9,0.01
mm,128,3,10,0.01
mm,128,3,11,0.01
mm,128,3,12,0.01
mm,128,3,13,0.01
mm,128,3,14,0.009
mm,128,3,15,0.009
mm,128,3,16,0.009
mm,128,3,17,0.011
mm,128,3,18,0.009
mm,128,3,19,0.01
mm,128,4,0,0.009
mm,128,4,1,0.009
mm,128,4,2,0.009
mm,128,4,3,0.009
mm,128,4,4,0.008
mm,128,4,5,0.009
mm,128,4,6,0.009
mm,128,4,7,0.008
mm,128,4,8,0.009
mm,128,4,9,0.009
mm,128,4,10,0.009
mm,128,4,11,0.009
mm,128,4,12,0.009
mm,128,4,13,0.009
mm,128,4,14,0.01
mm,128,4,15,0.008
mm,128,4,16,0.01
mm,128,4,17,0.008
mm,128,4,18,0.009
mm,128,4,19,0.009
mm,128,5,0,0.009
mm,128,5,1,0.009
mm,128,5,2,0.008
mm,128,5,3,0.009
mm,128,5,4,0.009
mm,128,5,5,0.009
mm,128,5,6,0.009
mm,128,5,7,0.009
mm,128,5,8,0.008
mm,128,5,9,0.009
mm,128,5,10,0.009
mm,128,5,11,0.008
mm,128,5,12,0.009
mm,128,5,13,0.008
mm,128,5,14,0.009
mm,128,5,15,0.008
mm,128,5,16,0.009
mm,128,5,17,0.008
mm,128,5,18,0.01
mm,128,5,19,0.009
mm,128,6,0,0.009
mm,128,6,1,0.008
mm,128,6,2,0.008
mm,128,6,3,0.009
mm,128,6,4,0.008
mm,128,6,5,0.009
mm,128,6,6,0.009
mm,128,6,7,0.008
mm,128,6,8,0.008
mm,128,6,9,0.009
mm,128,6,10,0.008
mm,128,6,11,0.008
mm,128,6,12,0.009
mm,128,6,13,0.008
mm,128,6,14,0.008
mm,128,6,15,0.008
mm,128,6,16,0.008
mm,128,6,17,0.008
mm,128,6,18,0.008
mm,128,6,19,0.009
mm,128,7,0,0.008
mm,128,7,1,0.009
mm,128,7,2,0.008
mm,128,7,3,0.008
mm,128,7,4,0.008
mm,128,7,5,0.008
mm,128,7,6,0.008
mm,128,7,7,0.009
mm,128,7,8,0.008
mm,128,7,9,0.008
mm,128,7,10,0.008
mm,128,7,11,0.008
mm,128,7,12,0.009
mm,128,7,13,0.008
mm,128,7,14,0.009
mm,128,7,15,0.008
mm,128,7,16,0.008
mm,128,7,17,0.008
mm,128,7,18,0.009
mm,128,7,19,0.008
mm,128,8,0,0.008
mm,128,8,1,0.008
mm,128,8,2,0.008
mm,128,8,3,0.008
mm,128,8,4,0.008
mm,128,8,5,0.01
mm,128,8,6,0.008
mm,128,8,7,0.007
mm,128,8,8,0.008
mm,128,8,9,0.008
mm,128,8,10,0.009
mm,128,8,11,0.009
mm,128,8,12,0.008
mm,128,8,13,0.009
mm,128,8,14,0.009
mm,128,8,15,0.009
mm,128,8,16,0.008
mm,128,8,17,0.008
mm,128,8,18,0.008
mm,128,8,19,0.008
mm,256,1,0,0.14
mm,256,1,1,0.139
mm,256,1,2,0.138
mm,256,1,3,0.138
mm,256,1,4,0.14
mm,256,1,5,0.139
mm,256,1,6,0.137
mm,256,1,7,0.138
mm,256,1,8,0.139
mm,256,1,9,0.14
mm,256,1,10,0.137
mm,256,1,11,0.139
mm,256,1,12,0.139
mm,256,1,13,0.139
mm,256,1,14,0.139
mm,256,1,15,0.136
mm,256,1,16,0.138
mm,256,1,17,0.139
mm,256,1,18,0.139
mm,256,1,19,0.138
mm,256,2,0,0.075
mm,256,2,1,0.074
mm,256,2,2,0.074
mm,256,2,3,0.074
mm,256,2,4,0.075
mm,256,2,5,0.074
mm,256,2,6,0.079
mm,256,2,7,0.074
mm,256,2,8,0.074
mm,256,2,9,0.074
mm,256,2,10,0.074
mm,256,2,11,0.074
mm,256,2,12,0.074
mm,256,2,13,0.075
mm,256,2,14,0.074
mm,256,2,15,0.074
mm,256,2,16,0.074
mm,256,2,17,0.074
mm,256,2,18,0.073
mm,256,2,19,0.075
mm,256,3,0,0.057
mm,256,3,1,0.058
mm,256,3,2,0.057
mm,256,3,3,0.057
mm,256,3,4,0.059
mm,256,3,5,0.057
mm,256,3,6,0.057
mm,256,3,7,0.057
mm,256,3,8,0.056
mm,256,3,9,0.058
mm,256,3,10,0.057
mm,256,3,11,0.062
mm,256,3,12,0.057
mm,256,3,13,0.062
mm,256,3,14,0.056
mm,256,3,15,0.056
mm,256,3,16,0.057
mm,256,3,17,0.061
mm,256,3,18,0.057
mm,256,3,19,0.057
mm,256,4,0,0.05
mm,256,4,1,0.05
mm,256,4,2,0.05
mm,256,4,3,0.048
mm,256,4,4,0.048
mm,256,4,5,0.05
mm,256,4,6,0.05
mm,256,4,7,0.051
mm,256,4,8,0.051
mm,256,4,9,0.051
mm,256,4,10,0.049
mm,256,4,11,0.051
mm,256,4,12,0.056
mm,256,4,13,0.051
mm,256,4,14,0.052
mm,256,4,15,0.049
mm,256,4,16,0.05
mm,256,4,17,0.056
mm,256,4,18,0.048
mm,256,4,19,0.054
mm,256,5,0,0.048
mm,256,5,1,0.051
mm,256,5,2,0.053
mm,256,5,3,0.05
mm,256,5,4,0.051
mm,256,5,5,0.051
mm,256,5,6,0.049
mm,256,5,7,0.052
mm,256,5,8,0.049
mm,256,5,9,0.05
mm,256,5,10,0.049
mm,256,5,11,0.052
mm,256,5,12,0.051
mm,256,5,13,0.051
mm,256,5,14,0.051
mm,256,5,15,0.049
mm,256,5,16,0.05
mm,256,5,17,0.049
mm,256,5,18,0.049
mm,256,5,19,0.05
mm,256,6,0,0.049
mm,256,6,1,0.048
mm,256,6,2,0.049
mm,256,6,3,0.049
mm,256,6,4,0.049
mm,256,6,5,0.049
mm,256,6,6,0.051
mm,256,6,7,0.047
mm,256,6,8,0.048
mm,256,6,9,0.048
mm,256,6,10,0.049
mm,256,6,11,0.051
mm,256,6,12,0.05
mm,256,6,13,0.048
mm,256,6,14,0.048
mm,256,6,15,0.047
mm,256,6,16,0.048
mm,256,6,17,0.048
mm,256,6,18,0.049
mm,256,6,19,0.048
mm,256,7,0,0.047
mm,256,7,1,0.049
mm,256,7,2,0.046
mm,256,7,3,0.046
mm,256,7,4,0.047
mm,256,7,5,0.048
mm,256,7,6,0.047
mm,256,7,7,0.047
mm,256,7,8,0.046
mm,256,7,9,0.047
mm,256,7,10,0.046
mm,256,7,11,0.048
mm,256,7,12,0.045
mm,256,7,13,0.045
mm,256,7,14,0.046
mm,256,7,15,0.046
mm,256,7,16,0.048
mm,256,7,17,0.047
mm,256,7,18,0.047
mm,256,7,19,0.046
mm,256,8,0,0.047
mm,256,8,1,0.049
mm,256,8,2,0.046
mm,256,8,3,0.047
mm,256,8,4,0.048
mm,256,8,5,0.048
mm,256,8,6,0.05
mm,256,8,7,0.044
mm,256,8,8,0.049
mm,256,8,9,0.046
mm,256,8,10,0.049
mm,256,8,11,0.048
mm,256,8,12,0.049
mm,256,8,13,0.048
mm,256,8,14,0.045
mm,256,8,15,0.047
mm,256,8,16,0.051
mm,256,8,17,0.046
mm,256,8,18,0.049
mm,256,8,19,0.048
mm,1024,1,0,8.982
mm,1024,1,1,8.841
mm,1024,1,2,8.879
mm,1024,1,3,8.987
mm,1024,1,4,8.816
mm,1024,1,5,8.8
mm,1024,1,6,8.81
mm,1024,1,7,8.868
mm,1024,1,8,8.938
mm,1024,1,9,8.968
mm,1024,1,10,9.224
mm,1024,1,11,9.039
mm,1024,1,12,8.774
mm,1024,1,13,8.772
mm,1024,1,14,8.773
mm,1024,1,15,8.821
mm,1024,1,16,8.798
mm,1024,1,17,8.784
mm,1024,1,18,8.823
mm,1024,1,19,8.871
mm,1024,2,0,4.697
mm,1024,2,1,4.623
mm,1024,2,2,4.716
mm,1024,2,3,4.665
mm,1024,2,4,4.719
mm,1024,2,5,4.683
mm,1024,2,6,4.646
mm,1024,2,7,4.67
mm,1024,2,8,4.738
mm,1024,2,9,4.74
mm,1024,2,10,4.742
mm,1024,2,11,4.642
mm,1024,2,12,4.729
mm,1024,2,13,4.748
mm,1024,2,14,4.741
mm,1024,2,15,4.703
mm,1024,2,16,4.755
mm,1024,2,17,4.752
mm,1024,2,18,4.769
mm,1024,2,19,4.653
mm,1024,3,0,3.302
mm,1024,3,1,3.309
mm,1024,3,2,3.313
mm,1024,3,3,3.34
mm,1024,3,4,3.309
mm,1024,3,5,3.307
mm,1024,3,6,3.449
mm,1024,3,7,3.341
mm,1024,3,8,3.293
mm,1024,3,9,3.302
mm,1024,3,10,3.293
mm,1024,3,11,3.328
mm,1024,3,12,3.348
mm,1024,3,13,3.33
mm,1024,3,14,3.31
mm,1024,3,15,3.357
mm,1024,3,16,3.369
mm,1024,3,17,3.451
mm,1024,3,18,3.39
mm,1024,3,19,3.342
mm,1024,4,0,2.727
mm,1024,4,1,2.865
mm,1024,4,2,2.729
mm,1024,4,3,2.741
mm,1024,4,4,2.806
mm,1024,4,5,2.701
mm,1024,4,6,2.737
mm,1024,4,7,2.73
mm,1024,4,8,2.713
mm,1024,4,9,2.745
mm,1024,4,10,2.719
mm,1024,4,11,2.707
mm,1024,4,12,2.743
mm,1024,4,13,2.72
mm,1024,4,14,2.767
mm,1024,4,15,2.776
mm,1024,4,16,2.768
mm,1024,4,17,2.744
mm,1024,4,18,2.756
mm,1024,4,19,2.813
mm,1024,5,0,2.683
mm,1024,5,1,2.642
mm,1024,5,2,2.636
mm,1024,5,3,2.64
mm,1024,5,4,2.638
mm,1024,5,5,2.669
mm,1024,5,6,2.638
mm,1024,5,7,2.65
mm,1024,5,8,2.643
mm,1024,5,9,2.632
mm,1024,5,10,2.642
mm,1024,5,11,2.679
mm,1024,5,12,2.685
mm,1024,5,13,2.639
mm,1024,5,14,2.637
mm,1024,5,15,2.686
mm,1024,5,16,2.682
mm,1024,5,17,2.629
mm,1024,5,18,2.675
mm,1024,5,19,2.651
mm,1024,6,0,2.438
mm,1024,6,1,2.455
mm,1024,6,2,2.364
mm,1024,6,3,2.357
mm,1024,6,4,2.36
mm,1024,6,5,2.357
mm,1024,6,6,2.394
mm,1024,6,7,2.357
mm,1024,6,8,2.408
mm,1024,6,9,2.413
mm,1024,6,10,2.427
mm,1024,6,11,2.394
mm,1024,6,12,2.347
mm,1024,6,13,2.376
mm,1024,6,14,2.408
mm,1024,6,15,2.354
mm,1024,6,16,2.353
mm,1024,6,17,2.419
mm,1024,6,18,2.41
mm,1024,6,19,2.355
mm,1024,7,0,2.234
mm,1024,7,1,2.21
mm,1024,7,2,2.431
mm,1024,7,3,2.244
mm,1024,7,4,2.206
mm,1024,7,5,2.253
mm,1024,7,6,2.212
mm,1024,7,7,2.161
mm,1024,7,8,2.172
mm,1024,7,9,2.195
mm,1024,7,10,2.206
mm,1024,7,11,2.182
mm,1024,7,12,2.255
mm,1024,7,13,2.17
mm,1024,7,14,2.168
mm,1024,7,15,2.194
mm,1024,7,16,2.284
mm,1024,7,17,2.21
mm,1024,7,18,2.177
mm,1024,7,19,2.174
mm,1024,8,0,2.34
mm,1024,8,1,2.179
mm,1024,8,2,2.352
mm,1024,8,3,2.206
mm,1024,8,4,2.279
mm,1024,8,5,2.323
mm,1024,8,6,2.224
mm,1024,8,7,2.234
mm,1024,8,8,2.18
mm,1024,8,9,2.177
mm,1024,8,10,2.201
mm,1024,8,11,2.19
mm,1024,8,12,2.203
mm,1024,8,13,2.192
mm,1024,8,14,2.213
mm,1024,8,15,2.222
mm,1024,8,16,2.136
mm,1024,8,17,2.255
mm,1024,8,18,2.35
mm,1024,8,19,2.253
sm,64,1,0,0.0
sm,64,1,1,0.0
sm,64,1,2,0.0
sm,64,1,3,0.0
sm,64,1,4,0.0
sm,64,1,5,0.0
sm,64,1,6,0.0
sm,64,1,7,0.0
sm,64,1,8,0.0
sm,64,1,9,0.0
sm,64,1,10,0.001
sm,64,1,11,0.0
sm,64,1,12,0.0
sm,64,1,13,0.0
sm,64,1,14,0.0
sm,64,1,15,0.0
sm,64,1,16,0.0
sm,64,1,17,0.0
sm,64,1,18,0.0
sm,64,1,19,0.0
sm,64,2,0,0.001
sm,64,2,1,0.001
sm,64,2,2,0.001
sm,64,2,3,0.001
sm,64,2,4,0.0
sm,64,2,5,0.001
sm,64,2,6,0.001
sm,64,2,7,0.001
sm,64,2,8,0.001
sm,64,2,9,0.001
sm,64,2,10,0.001
sm,64,2,11,0.001
sm,64,2,12,0.001
sm,64,2,13,0.001
sm,64,2,14,0.001
sm,64,2,15,0.001
sm,64,2,16,0.001
sm,64,2,17,0.001
sm,64,2,18,0.0
sm,64,2,19,0.0
sm,64,3,0,0.001
sm,64,3,1,0.001
sm,64,3,2,0.001
sm,64,3,3,0.001
sm,64,3,4,0.001
sm,64,3,5,0.001
sm,64,3,6,0.001
sm,64,3,7,0.001
sm,64,3,8,0.001
sm,64,3,9,0.001
sm,64,3,10,0.001
sm,64,3,11,0.001
sm,64,3,12,0.001
sm,64,3,13,0.001
sm,64,3,14,0.001
sm,64,3,15,0.001
sm,64,3,16,0.001
sm,64,3,17,0.001
sm,64,3,18,0.001
sm,64,3,19,0.001
sm,64,4,0,0.001
sm,64,4,1,0.001
sm,64,4,2,0.001
sm,64,4,3,0.001
sm,64,4,4,0.001
sm,64,4,5,0.001
sm,64,4,6,0.001
sm,64,4,7,0.001
sm,64,4,8,0.001
sm,64,4,9,0.001
sm,64,4,10,0.001
sm,64,4,11,0.001
sm,64,4,12,0.001
sm,64,4,13,0.001
sm,64,4,14,0.001
sm,64,4,15,0.001
sm,64,4,16,0.001
sm,64,4,17,0.001
sm,64,4,18,0.001
sm,64,4,19,0.001
sm,64,5,0,0.001
sm,64,5,1,0.001
sm,64,5,2,0.001
sm,64,5,3,0.001
sm,64,5,4,0.001
sm,64,5,5,0.001
sm,64,5,6,0.001
sm,64,5,7,0.001
sm,64,5,8,0.001
sm,64,5,9,0.001
sm,64,5,10,0.001
sm,64,5,11,0.001
sm,64,5,12,0.001
sm,64,5,13,0.001
sm,64,5,14,0.001
sm,64,5,15,0.001
sm,64,5,16,0.001
sm,64,5,17,0.001
sm,64,5,18,0.001
sm,64,5,19,0.001
sm,64,6,0,0.001
sm,64,6,1,0.001
sm,64,6,2,0.001
sm,64,6,3,0.001
sm,64,6,4,0.001
sm,64,6,5,0.001
sm,64,6,6,0.001
sm,64,6,7,0.001
sm,64,6,8,0.001
sm,64,6,9,0.001
sm,64,6,10,0.001
sm,64,6,11,0.001
sm,64,6,12,0.001
sm,64,6,13,0.001
sm,64,6,14,0.001
sm,64,6,15,0.001
sm,64,6,16,0.001
sm,64,6,17,0.001
sm,64,6,18,0.001
sm,64,6,19,0.001
sm,64,7,0,0.001
sm,64,7,1,0.001
sm,64,7,2,0.001
sm,64,7,3,0.001
sm,64,7,4,0.001
sm,64,7,5,0.001
sm,64,7,6,0.001
sm,64,7,7,0.001
sm,64,7,8,0.001
sm,64,7,9,0.001
sm,64,7,10,0.001
sm,64,7,11,0.001
sm,64,7,12,0.001
sm,64,7,13,0.001
sm,64,7,14,0.001
sm,64,7,15,0.001
sm,64,7,16,0.001
sm,64,7,17,0.001
sm,64,7,18,0.001
sm,64,7,19,0.001
sm,64,8,0,0.001
sm,64,8,1,0.001
sm,64,8,2,0.001
sm,64,8,3,0.001
sm,64,8,4,0.001
sm,64,8,5,0.001
sm,64,8,6,0.001
sm,64,8,7,0.001
sm,64,8,8,0.001
sm,64,8,9,0.001
sm,64,8,10,0.001
sm,64,8,11,0.001
sm,64,8,12,0.001
sm,64,8,13,0.001
sm,64,8,14,0.001
sm,64,8,15,0.001
sm,64,8,16,0.001
sm,64,8,17,0.001
sm,64,8,18,0.001
sm,64,8,19,0.001
sm,128,1,0,0.0
sm,128,1,1,0.0
sm,128,1,2,0.0
sm,128,1,3,0.0
sm,128,1,4,0.0
sm,128,1,5,0.0
sm,128,1,6,0.0
sm,128,1,7,0.0
sm,128,1,8,0.0
sm,128,1,9,0.0
sm,128,1,10,0.0
sm,128,1,11,0.0
sm,128,1,12,0.0
sm,128,1,13,0.0
sm,128,1,14,0.0
sm,128,1,15,0.0
sm,128,1,16,0.0
sm,128,1,17,0.0
sm,128,1,18,0.0
sm,128,1,19,0.0
sm,128,2,0,0.0
sm,128,2,1,0.0
sm,128,2,2,0.0
sm,128,2,3,0.0
sm,128,2,4,0.0
sm,128,2,5,0.0
sm,128,2,6,0.0
sm,128,2,7,0.0
sm,128,2,8,0.0
sm,128,2,9,0.0
sm,128,2,10,0.0
sm,128,2,11,0.0
sm,128,2,12,0.0
sm,128,2,13,0.0
sm,128,2,14,0.0
sm,128,2,15,0.0
sm,128,2,16,0.0
sm,128,2,17,0.0
sm,128,2,18,0.0
sm,128,2,19,0.0
sm,128,3,0,0.001
sm,128,3,1,0.0
sm,128,3,2,0.001
sm,128,3,3,0.001
sm,128,3,4,0.001
sm,128,3,5,0.001
sm,128,3,6,0.001
sm,128,3,7,0.001
sm,128,3,8,0.001
sm,128,3,9,0.001
sm,128,3,10,0.001
sm,128,3,11,0.001
sm,128,3,12,0.001
sm,128,3,13,0.0
sm,128,3,14,0.001
sm,128,3,15,0.001
sm,128,3,16,0.001
sm,128,3,17,0.001
sm,128,3,18,0.0
sm,128,3,19,0.001
sm,128,4,0,0.001
sm,128,4,1,0.001
sm,128,4,2,0.001
sm,128,4,3,0.001
sm,128,4,4,0.001
sm,128,4,5,0.001
sm,128,4,6,0.001
sm,128,4,7,0.001
sm,128,4,8,0.001
sm,128,4,9,0.001
sm,128,4,10,0.001
sm,128,4,11,0.001
sm,128,4,12,0.001
sm,128,4,13,0.001
sm,128,4,14,0.001
sm,128,4,15,0.001
sm,128,4,16,0.001
sm,128,4,17,0.001
sm,128,4,18,0.001
sm,128,4,19,0.001
sm,128,5,0,0.001
sm,128,5,1,0.001
sm,128,5,2,0.001
sm,128,5,3,0.001
sm,128,5,4,0.001
sm,128,5,5,0.001
sm,128,5,6,0.001
sm,128,5,7,0.001
sm,128,5,8,0.001
sm,128,5,9,0.001
sm,128,5,10,0.001
sm,128,5,11,0.001
sm,128,5,12,0.001
sm,128,5,13,0.001
sm,128,5,14,0.001
sm,128,5,15,0.001
sm,128,5,16,0.001
sm,128,5,17,0.001
sm,128,5,18,0.001
sm,128,5,19,0.001
sm,128,6,0,0.001
sm,128,6,1,0.001
sm,128,6,2,0.001
sm,128,6,3,0.001
sm,128,6,4,0.001
sm,128,6,5,0.001
sm,128,6,6,0.001
sm,128,6,7,0.001
sm,128,6,8,0.001
sm,128,6,9,0.001
sm,128,6,10,0.001
sm,128,6,11,0.001
sm,128,6,12,0.001
sm,128,6,13,0.001
sm,128,6,14,0.001
sm,128,6,15,0.001
sm,128,6,16,0.001
sm,128,6,17,0.001
sm,128,6,18,0.001
sm,128,6,19,0.001
sm,128,7,0,0.001
sm,128,7,1,0.001
sm,128,7,2,0.001
sm,128,7,3,0.001
sm,128,7,4,0.001
sm,128,7,5,0.001
sm,128,7,6,0.001
sm,128,7,7,0.001
sm,128,7,8,0.001
sm,128,7,9,0.001
sm,128,7,10,0.001
sm,128,7,11,0.001
sm,128,7,12,0.001
sm,128,7,13,0.001
sm,128,7,14,0.001
sm,128,7,15,0.001
sm,128,7,16,0.001
sm,128,7,17,0.001
sm,128,7,18,0.001
sm,128,7,19,0.001
sm,128,8,0,0.001
sm,128,8,1,0.001
sm,128,8,2,0.001
sm,128,8,3,0.001
sm,128,8,4,0.001
sm,128,8,5,0.001
sm,128,8,6,0.001
sm,128,8,7,0.001
sm,128,8,8,0.001
sm,128,8,9,0.001
sm,128,8,10,0.001
sm,128,8,11,0.001
sm,128,8,12,0.001
sm,128,8,13,0.002
sm,128,8,14,0.001
sm,128,8,15,0.001
sm,128,8,16,0.001
sm,128,8,17,0.001
sm,128,8,18,0.001
sm,128,8,19,0.001
sm,256,1,0,0.001
sm,256,1,1,0.001
sm,256,1,2,0.001
sm,256,1,3,0.001
sm,256,1,4,0.001
sm,256,1,5,0.001
sm,256,1,6,0.001
